Player	Rank	Position	Team	Fantasy Team	Score_Q	FG%_Q	FT%_Q	3PM_Q	PTS_Q	REB_Q	AST_Q	ST_Q	BLK_Q	TO_Q	FG%	FT%	3PM	PTS	REB	AST	ST	BLK	TO
Kevin Durant	1	SF	OKC	Full-On Splits	8.687850364	0.841843704	0.956480277	1.696804915	4.061239437	0.88515519	1.233449472	0.835403997	0.335348936	-2.157875565	0.503	0.873	2.4	32	7.4	5.5	1.3	0.7	3.5
Anthony Davis	2	PF	NO	Jason's Neat Team	8.310097747	1.151772357	0.146573392	-1.319737156	1.561534456	1.870555958	-0.680016296	0.835403997	4.441662438	0.302348601	0.519	0.791	0	20.8	10	1.6	1.3	2.8	1.6
Chris Paul	3	PG	LAC	Jesse's Neat Team	8.092680313	0.144504234	0.778695839	0.314223132	1.18211495	-0.289745726	3.784737164	3.620083988	-0.837883493	-0.604049775	0.467	0.855	1.3	19.1	4.3	10.7	2.5	0.1	2.3
Kevin Love	4	PF	MIN	Derp Squad	7.228786429	-0.049201174	0.442880789	1.822494168	2.744430563	2.818056696	0.693753999	-0.324879332	-0.05572854	-0.86302074	0.457	0.821	2.5	26.1	12.5	4.4	0.8	0.5	2.5
Stephen Curry	5	PG	GS	Full-On Splits	7.159231424	0.221986398	1.075003236	2.828008192	2.275735879	-0.289745726	2.705346218	1.531573995	-0.642344755	-2.546332012	0.471	0.885	3.3	24	4.3	8.5	1.6	0.2	3.8
LeBron James	6	SF	MIA	Sligonian	6.653964363	2.081558316	-0.25838005	0.565601638	2.967618508	0.695655042	1.675018496	1.531573995	-0.446806017	-2.157875565	0.567	0.75	1.5	27.1	6.9	6.4	1.6	0.3	3.5
Carmelo Anthony	7	SF	NY	Spurtability	6.196082386	-0.146053878	0.709557447	1.445426409	3.034574891	1.150455397	0.055932076	0.603347331	0.335348936	-0.992506223	0.452	0.848	2.2	27.4	8.1	3.1	1.2	0.7	2.6
James Harden	8	SG	HOU	FOOSHBAGS	5.48640297	-0.068571714	0.887341885	1.696804915	2.588199002	-0.138145608	1.527828821	1.531573995	-0.251267279	-2.287361047	0.456	0.866	2.4	25.4	4.7	6.1	1.6	0.4	3.6
DeAndre Jordan	9	C	LAC	Derp Squad	5.312456286	4.192947265	-3.438746111	-1.319737156	-0.75962017	3.234957021	-1.02345887	0.139234	3.855046224	0.431834084	0.676	0.428	0	10.4	13.6	0.9	1	2.5	1.5
Dirk Nowitzki	10	PF	DAL	Sligonian	5.161450605	0.725620459	1.213280021	0.691290891	1.762403606	0.430354835	-0.140320823	-0.092822666	0.139810198	0.431834084	0.497	0.899	1.6	21.7	6.2	2.7	0.9	0.6	1.5
Serge Ibaka	11	PF	OKC	Jason's Neat Team	5.003468736	1.481071551	0.077435	-0.942669397	0.28936317	1.415755603	-0.974395645	-1.02104933	4.2461237	0.431834084	0.536	0.784	0.3	15.1	8.8	1	0.5	2.7	1.5
Paul George	12	SF	IND	#N/A	4.952079082	-0.688429021	0.867588058	1.571115662	1.762403606	0.657755013	0.252184976	2.227743992	-0.446806017	-1.251477188	0.424	0.864	2.3	21.7	6.8	3.5	1.9	0.3	2.8
Ryan Anderson	13	PF	NO	Sligonian	4.321226378	-0.417241449	1.736756423	2.450940433	1.338346511	0.544054924	-1.072522095	-1.02104933	-0.446806017	1.208746978	0.438	0.952	3	19.8	6.5	0.8	0.5	0.3	0.9
Kawhi Leonard	14	SF	SA	Derp Squad	4.239689993	1.209883979	0.255219438	-0.062844626	-0.223969103	0.430354835	-0.483763397	1.763630661	0.530887674	0.820290531	0.522	0.802	1	12.8	6.2	2	1.7	0.8	1.2
LaMarcus Aldridge	15	PF	POR	Justin's Neat Team	4.170967792	-0.029830633	0.452757703	-1.319737156	2.097185523	2.287456283	-0.189384048	-0.092822666	0.921965151	0.043377637	0.458	0.822	0	23.2	11.1	2.6	0.9	1	1.8
Kyle Lowry	16	PG	TOR	Justin's Neat Team	4.088817223	-0.707799561	0.363865483	1.696804915	0.914289416	-0.138145608	2.165650744	1.299517329	-0.642344755	-0.86302074	0.423	0.813	2.4	17.9	4.7	7.4	1.5	0.2	2.5
DeMarcus Cousins	17	C	SAC	Jesse's Neat Team	3.999563561	0.706249918	-0.495425968	-1.319737156	1.985591551	2.51485646	-0.042194373	1.299517329	1.508581365	-2.157875565	0.496	0.726	0	22.7	11.7	2.9	1.5	1.3	3.5
Paul Millsap	18	PF	ATL	Jason's Neat Team	3.809785777	0.02828099	-0.446041402	-0.062844626	0.914289416	1.302055515	0.055932076	1.763630661	1.117503889	-0.86302074	0.461	0.731	1	17.9	8.5	3.1	1.7	1.1	2.5
Brook Lopez	19	C	BKN	Sligonian	3.725598028	2.004076153	0.403373136	-1.319737156	1.539215661	0.354554776	-1.02345887	-1.02104933	2.486275056	0.302348601	0.563	0.817	0	20.7	6	0.9	0.5	1.8	1.6
Joakim Noah	20	C	CHI	FOOSHBAGS	3.641458296	0.299468561	-0.386779922	-1.319737156	-0.268606692	2.363256342	1.184386248	0.603347331	1.899658842	-0.733535258	0.475	0.737	0	12.6	11.3	5.4	1.2	1.5	2.4
Russell Westbrook	21	PG	OKC	Justin's Neat Team	3.606233938	-0.43661199	0.492265355	0.565601638	1.7847224	0.240854688	1.92033462	2.227743992	-0.642344755	-2.546332012	0.437	0.826	1.5	21.8	5.7	6.9	1.9	0.2	3.8
Blake Griffin	22	PF	LAC	Spurtability	3.572905261	1.326107224	-0.604072013	-1.06835865	2.298054673	1.68105581	0.448437875	0.603347331	0.139810198	-1.251477188	0.528	0.715	0.2	24.1	9.5	3.9	1.2	0.6	2.8
Al Jefferson	23	C	CHA	Jason's Neat Team	3.508657712	0.958066949	-0.850994844	-1.319737156	1.7847224	2.173756194	-0.434700172	-0.092822666	1.117503889	0.172863119	0.509	0.69	0	21.8	10.8	2.1	0.9	1.1	1.7
John Wall	24	PG	WSH	FOOSHBAGS	3.451319542	-0.514094153	0.284850178	0.314223132	1.226752538	-0.365545785	2.852535892	1.995687327	-0.05572854	-2.287361047	0.433	0.805	1.3	19.3	4.1	8.8	1.8	0.5	3.6
Al Horford	25	PF	ATL	Spurtability	3.43506456	2.081558316	-0.93001015	-1.194047903	1.070520977	1.264155485	-0.189384048	-0.092822666	1.899658842	-0.474564293	0.567	0.682	0.1	18.6	8.4	2.6	0.9	1.5	2.2
Kyrie Irving	26	PG	CLE	Full-On Splits	3.347768639	-0.572205776	0.837957319	0.816980144	1.561534456	-0.555045933	1.527828821	1.299517329	-0.446806017	-1.121991705	0.43	0.861	1.7	20.8	3.6	6.1	1.5	0.3	2.7
Andre Drummond	27	C	DET	Jesse's Neat Team	3.315765047	3.166308602	-3.537515243	-1.319737156	-0.067737541	3.083356903	-1.268774994	0.603347331	2.09519758	0.561319566	0.623	0.418	0	13.5	13.2	0.4	1.2	1.6	1.4
Kyle Korver	28	SG	ATL	Justin's Neat Team	3.133196563	0.299468561	1.479956679	1.948183421	-0.402519458	-0.403445814	-0.042194373	0.139234	-0.446806017	0.561319566	0.475	0.926	2.6	12	4	2.9	1	0.3	1.4
Damian Lillard	29	PG	POR	Sligonian	3.045731894	-0.688429021	0.936726451	2.073872674	1.539215661	-0.592945962	1.282512697	-0.324879332	-0.446806017	-0.733535258	0.424	0.871	2.7	20.7	3.5	5.6	0.8	0.3	2.4
Trevor Ariza	30	SG	WSH	Jason's Neat Team	3.044126257	-0.068571714	-0.041087959	1.571115662	0.133131609	0.430354835	-0.238447273	1.531573995	-0.446806017	0.172863119	0.456	0.772	2.3	14.4	6.2	2.5	1.6	0.3	1.7
Goran Dragic	31	SG	PHX	Sligonian	2.954439022	0.880584785	-0.159610918	0.691290891	1.449940483	-0.706646051	1.429702372	1.067460663	-0.446806017	-1.251477188	0.505	0.76	1.6	20.3	3.2	5.9	1.4	0.3	2.8
Chris Bosh	32	PF	MIA	Jesse's Neat Team	2.893170925	1.093660734	0.433003876	-0.188533879	0.53486991	0.581954953	-0.92533242	0.139234	0.921965151	0.302348601	0.516	0.82	0.9	16.2	6.6	1.1	1	1	1.6
Thaddeus Young	33	SF	PHI	Derp Squad	2.54514952	-0.107312796	-0.633702753	0.062844626	0.914289416	0.354554776	-0.336573722	2.691857324	-0.05572854	-0.345078811	0.454	0.712	1.1	17.9	6	2.3	2.1	0.5	2.1
Dwight Howard	34	C	HOU	Spurtability	2.481328665	2.546451296	-2.263393436	-1.319737156	1.003564594	2.704356607	-0.581889847	-0.324879332	2.486275056	-1.769419117	0.591	0.547	0	18.3	12.2	1.8	0.8	1.8	3.2
Nicolas Batum	35	SF	POR	FOOSHBAGS	2.473954709	0.105763153	0.265096351	0.942669397	-0.179331514	0.923055219	1.037196573	-0.092822666	0.335348936	-0.86302074	0.465	0.803	1.8	13	7.5	5.1	0.9	0.7	2.5
Robin Lopez	36	C	POR	Jason's Neat Team	2.425185745	1.771629663	0.41325005	-1.319737156	-0.603388609	1.302055515	-1.02345887	-1.485162662	2.290736318	1.079261496	0.551	0.818	0	11.1	8.5	0.9	0.3	1.7	1
Tim Duncan	37	PF	SA	Derp Squad	2.425078326	0.590026673	-0.446041402	-1.319737156	0.28936317	1.756855869	0.006868851	-0.788992664	2.681813795	-0.345078811	0.49	0.731	0	15.1	9.7	3	0.6	1.9	2.1
Chandler Parsons	38	SF	HOU	FOOSHBAGS	2.399304003	0.241356939	-0.337395356	0.942669397	0.624145088	0.165054629	0.4975011	0.603347331	-0.251267279	-0.086107846	0.472	0.742	1.8	16.6	5.5	4	1.2	0.4	1.9
