Player	2016 Fantasy Points	Score_Q	FG%_Q	FT%_Q	3PM_Q	PTS_Q	REB_Q	AST_Q	ST_Q	BLK_Q	TO_Q	FG%	FT%	3PM	PTS	REB	AST	ST	BLK	TO
Dahntay Jones	13	-5.805	-0.5	-7.306	-0.132	-0.148	-0.029	-0.441	0.104	2.647	2.277	42.9	0	1	13	5	2	1	2	0
Andre Drummond	16.2	2.155	1.306	-3.933	-1.349	0.546	3.816	-1.03	1.253	1.546	-0.176	52.1	35.5	0	16.2	14.8	0.8	1.5	1.4	1.9
DeAndre Jordan	12.7	5.297	4.879	-3.22	-1.349	-0.213	3.423	-0.834	-0.586	3.197	0.47	70.3	43	0	12.7	13.8	1.2	0.7	2.3	1.4
Dwight Howard	13.7	3.166	3.25	-2.659	-1.349	0.004	2.639	-0.736	0.104	1.913	-0.692	62	48.9	0	13.7	11.8	1.4	1	1.6	2.3
Tony Wroten	8.4	-9.921	-2.286	-2.165	-0.862	-1.145	-0.971	-0.195	-1.275	-1.022	-2.37	33.8	54.1	0.4	8.4	2.6	2.5	0.4	0	3.6
Rudy Gobert	9.1	1.877	2.052	-1.899	-1.349	-0.993	2.325	-0.687	-0.586	3.014	-0.176	55.9	56.9	0	9.1	11	1.5	0.7	2.2	1.9
Rajon Rondo	11.9	3.805	-0.009	-1.795	-0.254	-0.386	0.363	4.323	2.402	-0.839	-2.757	45.4	58	0.9	11.9	6	11.7	2	0.1	3.9
Ian Mahinmi	9.3	-0.408	2.641	-1.728	-1.349	-0.95	0.795	-0.687	-0.126	0.996	0.47	58.9	58.7	0	9.3	7.1	1.5	0.9	1.1	1.4
Elfrid Payton	10.7	-2.345	-0.362	-1.709	-0.862	-0.646	-0.578	1.72	0.564	-0.472	-0.821	43.6	58.9	0.4	10.7	3.6	6.4	1.2	0.3	2.4
Nerlens Noel	11.1	2.017	1.306	-1.7	-1.349	-0.56	1.187	-0.539	1.943	1.729	-0.821	52.1	59	0	11.1	8.1	1.8	1.8	1.5	2.4
DeMarre Carroll	11	-2.65	-1.285	-1.605	0.842	-0.581	-0.147	-0.932	1.713	-0.655	0.857	38.9	60	1.8	11	4.7	1	1.7	0.2	1.1
Kenneth Faried	12.5	-0.881	2.033	-1.481	-1.349	-0.256	1.422	-0.834	-1.045	0.629	0.47	55.8	61.3	0	12.5	8.7	1.2	0.5	0.9	1.4
J.R. Smith	12.4	-2.138	-0.775	-1.282	1.815	-0.278	-0.892	-0.588	0.334	-0.472	1.244	41.5	63.4	2.6	12.4	2.8	1.7	1.1	0.3	0.8
Jared Sullinger	10.3	-2.278	-0.382	-1.225	-0.862	-0.733	1.266	-0.294	-0.126	0.078	0.599	43.5	64	0.4	10.3	8.3	2.3	0.9	0.6	1.3
Mason Plumlee	9.1	-0.902	1.208	-1.206	-1.349	-0.993	1.03	-0.048	-0.356	0.812	-0.176	51.6	64.2	0	9.1	7.7	2.8	0.8	1	1.9
Thaddeus Young	15.1	1.26	1.169	-1.186	-1.228	0.307	1.54	-0.49	1.253	-0.105	-0.176	51.4	64.4	0.1	15.1	9	1.9	1.5	0.5	1.9
Omri Casspi	11.8	-1.86	0.521	-1.148	0.598	-0.408	0.324	-0.736	-0.356	-0.655	0.47	48.1	64.8	1.6	11.8	5.9	1.4	0.8	0.2	1.4
Al Jefferson	12	-2.606	0.6	-1.139	-1.349	-0.365	0.52	-0.687	-0.815	0.629	1.373	48.5	64.9	0	12	6.4	1.5	0.6	0.9	0.7
Hassan Whiteside	14.2	6.972	2.975	-1.129	-1.349	0.112	2.639	-1.227	-0.815	5.766	-0.176	60.6	65	0	14.2	11.8	0.4	0.6	3.7	1.9
Tony Allen	8.4	-3.119	0.07	-1.11	-1.106	-1.145	-0.186	-0.883	1.713	-0.472	0.728	45.8	65.2	0.2	8.4	4.6	1.1	1.7	0.3	1.2
Jerami Grant	9.7	-2.712	-0.696	-1.053	-0.741	-0.863	-0.147	-0.539	-0.586	1.913	0.47	41.9	65.8	0.5	9.7	4.7	1.8	0.7	1.6	1.4
Michael Carter-Williams	11.5	0.328	-0.048	-1.006	-0.984	-0.473	0.01	1.131	1.253	0.445	-1.337	45.2	66.3	0.3	11.5	5.1	5.2	1.5	0.8	2.8
Terrence Jones	8.7	-4.838	-0.048	-0.996	-0.741	-1.08	-0.343	-1.03	-1.045	0.445	0.986	45.2	66.4	0.5	8.7	4.2	0.8	0.5	0.8	1
Jordan Hamilton	11.4	-3.135	-0.637	-0.968	0.111	-0.495	0.206	-0.294	-0.586	-0.472	0.341	42.2	66.7	1.2	11.4	5.6	2.3	0.7	0.3	1.5
