year, mon, day, tmax, tmin, precip, snow, snowcover
"2019","1","1","13","2","0.03","0.6","2"
"2019","2","2","41","2","0.00","0.0","2"
"2019","3","3","56","1","0.00","0.0","1"
"2019","4","4","61","-999","0.00","0.0","-999"
"2019","5","5","60","-999","0.00","0.0","-999"
"2019","6","6","57","0","0.00","0.0","0"
"2019","7","7","51","0","-999.00","-999.0","0"
"2019","8","8","46","0","0.00","0.0","0"
"2019","9","9","50","0","-999.00","0.0","0"
"2019","10","10","58","0","0.00","0.0","0"
"2019","11","11","45","2","0.63","1.9","2"
"2019","12","12","39","2","0.14","1.4","2"
"2019","13","13","41","2","0.00","0.0","2"
"2019","14","14","51","1","0.00","0.0","1"
"2019","15","15","51","1","0.00","0.0","1"
"2019","16","16","53","-999","0.00","0.0","-999"
"2019","17","17","57","0","0.00","0.0","0"
"2019","18","18","50","1","0.22","1.5","1"
"2019","19","19","51","-999","0.00","0.0","-999"
"2019","20","20","54","-999","0.00","0.0","-999"
"2019","21","21","51","-999","0.00","0.0","-999"
"2019","22","22","44","2","0.17","2.2","2"
"2019","23","23","45","1","0.00","0.0","1"
"2019","24","24","37","3","0.18","2.9","3"
"2019","25","25","41","2","0.00","0.0","2"
"2019","26","26","48","2","0.00","0.0","2"
"2019","27","27","53","-999","0.00","0.0","-999"
"2019","28","28","49","4","0.20","4.0","4"
"2019","29","29","32","2","0.00","0.0","2"
"2019","30","30","49","2","0.00","0.0","2"
"2019","31","31","50","1","0.00","0.0","1"
"2019","1","1","59","-999","0.00","0.0","-999"
"2019","2","2","59","-999","0.00","0.0","-999"
"2019","3","3","63","-999","0.00","0.0","-999"
"2019","4","4","54","-999","0.00","0.0","-999"
"2019","5","5","47","-999","0.00","0.0","-999"
"2019","6","6","37","5","0.29","5.7","5"
"2019","7","7","20","5","0.08","1.8","5"
"2019","8","8","33","4","0.00","0.0","4"
"2019","9","9","44","3","0.00","0.0","3"
"2019","10","10","32","3","0.00","0.0","3"
"2019","11","11","36","2","-999.00","-999.0","2"
"2019","12","12","50","1","0.00","0.0","1"
"2019","13","13","57","-999","0.00","0.0","-999"
"2019","14","14","56","0","0.00","0.0","0"
