Month,Day,HighMax,HighMaxYear,LowMin,LowMinYear,LowMax,LowMaxYear,HighMin,HighMinYear,Precip,PrecipYear,Snow,SnowYear,AvgTMax,AvgTMin,AvgPcp,AvgSnow,AvgDepth,ChanceRain,ChanceSnow,ChanceSnowOnGround
"1","1","70","1997","-4","1995","13","2009","45","2019","0.22","1996","3.5","1996","43.00","20.97","0.01","0.25","1.93","16.7","17.2","48.3"
"2","2","70","1997","1","2019","24","1997","49","1996","0.20","1999","3.3","1999","46.97","20.00","0.01","0.15","1.83","10.0","10.3","51.7"
"3","3","68","1997","2","1995","22","2003","41","1995","0.23","2004","3.6","2004","46.67","21.40","0.02","0.31","1.76","33.3","24.1","48.3"
"4","4","65","2020","0","2015","23","2008","41","1995","0.58","2014","10.7","2014","44.80","19.13","0.04","0.88","2.17","26.7","27.6","58.6"
"5","5","69","2012","-5","2004","8","2012","39","2017","0.91","2007","11.5","2007","44.43","19.57","0.06","0.93","2.31","20.0","20.7","51.7"
"6","6","66","2006","-7","2017","26","2006","35","2014","1.04","1998","9.2","1998","44.77","18.53","0.05","0.51","2.31","20.0","17.2","48.3"
"7","7","69","2006","-7","2010","16","2006","49","2010","0.08","1992","1.0","1992","46.87","19.97","0.01","0.14","1.93","20.0","20.7","51.7"
"8","8","69","2003","-4","2010","21","2002","45","1993","0.23","2016","2.5","2016","49.13","23.23","0.01","0.16","1.48","16.7","13.8","37.9"
"9","9","67","2018","6","1993","19","2002","40","1993","0.30","1993","4.1","1993","47.27","23.60","0.02","0.33","1.52","16.7","17.2","37.9"
"10","10","66","1995","-6","1993","14","2018","44","1993","0.44","2011","7.4","2011","46.27","22.27","0.03","0.59","1.55","16.7","10.3","34.5"
"11","11","62","1999","-3","1997","7","1995","45","1997","0.63","2012","4.7","2012","46.53","22.63","0.03","0.34","1.55","13.3","13.8","37.9"
"12","12","66","1996","-8","1997","1","2000","41","1997","0.40","2009","6.0","2009","43.77","20.67","0.05","0.70","1.90","30.0","31.0","48.3"
"13","13","69","1996","-12","1997","3","2010","37","1997","0.08","1992","1.7","1992","44.10","19.83","0.01","0.09","1.52","20.0","20.7","41.4"
"14","14","67","2006","-7","1997","15","2016","37","2007","0.18","2007","3.5","2007","47.47","21.77","0.01","0.14","1.38","10.0","13.8","37.9"
"15","15","63","2000","-5","1992","28","2012","43","2007","0.12","1992","2.0","1992","47.00","22.53","0.01","0.13","1.31","10.0","10.3","41.4"
"16","16","62","2015","0","2018","27","1996","39","2002","0.47","2001","7.0","2001","46.23","22.10","0.04","0.75","1.62","26.7","27.6","44.8"
"17","17","64","2000","1","1997","26","2011","41","2008","0.25","1996","4.7","1996","46.13","20.30","0.01","0.20","1.41","13.3","10.3","41.4"
"18","18","65","2009","-4","1996","21","2000","35","1996","0.22","2019","1.5","2019","48.57","21.73","0.01","0.06","1.21","10.0","10.3","41.4"
"19","19","69","2018","5","2008","30","2005","44","1993","0.32","2006","3.2","2006","51.87","25.27","0.03","0.38","1.24","23.3","20.7","37.9"
"20","20","73","2005","7","1991","29","2005","46","1991","0.20","1991","3.1","1991","49.20","25.00","0.01","0.18","1.10","13.3","13.8","34.5"
"21","21","70","2009","6","1991","29","2005","41","2008","0.67","2018","7.1","2018","48.07","24.10","0.04","0.57","1.45","20.0","20.7","41.4"
"22","22","65","2013","-5","2008","33","2009","49","2007","0.22","1999","2.9","1999","47.33","22.73","0.02","0.27","1.24","16.7","20.7","44.8"
"23","23","67","2005","0","1996","28","2013","34","1991","0.19","2014","5.2","2014","48.10","20.93","0.02","0.40","1.24","16.7","20.7","41.4"
"24","24","64","2013","5","1991","32","1994","38","1993","0.18","2019","2.9","2019","47.77","22.14","0.01","0.16","0.97","13.3","10.3","34.5"
"25","25","63","2014","7","1996","29","2005","37","2017","0.56","1996","6.5","1996","48.13","22.52","0.03","0.50","1.21","16.7","20.7","31.0"
"26","26","71","2015","-7","1996","15","2012","38","2009","0.36","2004","3.4","2004","48.27","22.79","0.02","0.29","1.10","16.7","13.8","31.0"
"27","27","72","2015","-6","2009","28","2003","46","1996","0.24","2014","5.7","2014","47.63","23.83","0.02","0.49","1.17","30.0","24.1","31.0"
"28","28","68","2011","0","2014","26","2015","42","2001","0.20","2019","4.0","2019","47.50","24.30","0.02","0.31","1.17","20.0","20.7","41.4"
"29","29","61","2017","-2","1991","28","2016","35","1991","0.40","1994","6.5","1994","45.23","22.33","0.04","0.70","1.41","23.3","24.1","34.5"
"30","30","64","2018","0","1991","19","2017","41","1994","0.41","2002","5.8","2002","47.10","22.53","0.04","0.42","1.45","26.7","24.1","37.9"
"31","31","66","1997","-3","1994","15","1997","52","1996","0.54","2005","7.6","2005","46.53","22.80","0.06","0.83","1.72","26.7","27.6","44.8"
"1","1","69","2003","-10","2011","8","2003","48","2011","0.40","2016","5.4","2016","44.31","21.21","0.05","0.69","1.96","34.5","33.3","44.4"
