bpm	frequency
78	123
79	142
80	291
81	131
82	171
83	161
84	172
85	273
86	187
87	198
88	199
89	163
90	309
91	172
92	209
93	166
94	187
95	201
96	151
97	153
98	125
99	100
100	197
101	85
102	85
103	64
104	70
105	92
106	52
107	40
108	65
109	54
110	131
111	35
112	81
113	48
114	48
115	64
116	32
117	50
118	59
119	32
120	182
121	49
122	63
123	62
124	85
125	143
126	122
127	122
128	519
129	77
130	265
131	55
132	83
133	52
134	45
135	60
136	63
137	35
138	104
139	43
140	594
141	57
142	84
143	66
144	91
145	74
146	67
147	36
148	86
149	37
150	217
151	37
152	90
153	39
154	79
155	33
