bpm	frequency
78	140
79	152
80	373
81	137
82	191
83	170
84	189
85	300
86	203
87	227
88	223
89	172
90	350
91	178
92	230
93	180
94	206
95	228
96	163
97	171
98	144
99	110
100	266
101	88
102	102
103	79
104	80
105	112
106	57
107	50
108	78
109	59
110	151
111	44
112	97
113	60
114	54
115	78
116	54
117	50
118	77
119	39
120	214
121	54
122	85
123	83
124	110
125	183
126	138
127	137
128	592
129	92
130	316
131	73
132	86
133	60
134	66
135	84
136	80
137	39
138	121
139	41
140	679
141	61
142	106
143	65
144	96
145	128
146	89
147	38
148	94
149	38
150	340
151	37
152	99
153	36
154	95
155	38
