geoid	pop	white	black	amerind	asian	hawaiian	other	two	hispanic	povrate	income	noed	high	associates	bachelors	masters	prof	phd
110010001001	1240	1189	0	0	35	0	16	0	103	0.066935484	109147	0	0.1495228	0.015906681	0.288441145	0.191940615	0.239660657	0.114528102
110010001002	1436	1266	63	0	55	0	27	25	32	0.048050139	90894	0	0.084622384	0.026387625	0.24021838	0.340309372	0.20655141	0.101910828
110010001003	1261	1108	0	86	67	0	0	0	48	0.057097542	121897	0	0.026205451	0	0.272536688	0.296645702	0.320754717	0.083857442
110010001004	1062	989	0	0	73	0	0	0	98	0	127450	0	0.076416337	0.021080369	0.28458498	0.276679842	0.177865613	0.163372859
110010002011	3909	2924	347	0	474	0	7	157	154	1	1657	0	0.557692308	0	0.173076923	0	0.269230769	0
110010002021	1332	1124	39	0	132	0	25	12	95	0.1996997	89397	0.044303797	0.039240506	0.010126582	0.264556962	0.306329114	0.196202532	0.139240506
110010002022	760	749	0	0	0	0	0	11	0	0.017105263	131436	0	0.047297297	0.02027027	0.337837838	0.39527027	0.101351351	0.097972973
110010002023	1004	924	33	0	5	0	0	42	34	0.277777778	64138	0.020376176	0.128526646	0	0.437304075	0.225705329	0.141065831	0.047021944
110010002024	1770	1469	101	12	121	0	0	67	90	0.240300375	51437	0	0.015600624	0	0.36349454	0.355694228	0.223088924	0.042121685
110010003001	1267	1195	0	12	36	0	24	0	69	0.117600631	68359	0	0.057279236	0.019093079	0.261336516	0.366348449	0.182577566	0.113365155
110010003002	1426	1128	20	11	110	0	37	120	240	0.091865358	51844	0.125998225	0.148181012	0.026619343	0.22715173	0.321206744	0.078083407	0.072759539
110010003003	1461	1226	57	0	163	0	0	15	134	0.162902122	77819	0.014659686	0.27434555	0.043979058	0.190575916	0.254450262	0.096335079	0.12565445
110010003004	1755	1651	0	43	32	20	0	9	54	0.143589744	65338	0	0.025919732	0	0.447324415	0.285117057	0.214882943	0.026755853
