year	oct	nov	dec	jan	feb	mar	apr	season
1888-89	0	1.5	0	3	3.5	0.5	4	12.5
1889-90	0	0	0	0	1.5	5	0	6.5
1890-91	0	0	13	6.1	1	17	0	37.1
1891-92	0	2.5	0	20.5	7.5	11.2	0	41.7
1892-93	0	3.5	5.5	11.3	8.7	2	0	31
1893-94	0	0	3.3	2	18.1	0	2	25.4
1894-95	0	0	2.6	8.7	13.4	0.1	0	24.8
1895-96	0	0	1.2	0.2	0.1	7.7	0.1	9.3
1896-97	0	2.5	1	6.7	6	0	0	16.2
1897-98	0	0	2	6	0	2	1	11
1898-99	0	4.8	1.6	8.3	35.2	4.5	0	54.4
1899-90	0	0	1.8	2.2	15.9	15.5	0.2	35.6
1900-01	0	0.5	0.2	8.1	0.2	0.1	0	9.1
1901-02	0	0.2	0.3	7.1	1.5	4	0	13.1
1902-03	0	0	3	2.2	3	0	0	8.2
1903-04	0	0.6	1.3	16.5	1.8	0	0	20.2
1904-05	0	4	13.2	13.5	5.5	4.8	0	41
1905-06	0	0.1	5.4	2.8	10.1	7.3	0	25.7
1906-07	0	0.2	0.3	4.6	15.4	6.4	1.4	28.3
1907-08	0	0	1.9	2.8	13.6	0	0	18.3
1908-09	0	3.5	11.5	3.7	6.4	10.9	0	36
1909-10	0	1.5	5.2	6.7	3.4	3.2	0	20
1910-11	0	4	12	5.5	10.2	8	0.1	39.8
1911-12	0	0	0	16.9	0.5	4.4	0	21.8
1912-13	0	0.6	6.5	0	1.6	0	0	8.7
1913-14	0	0	0	0	9.3	19.3	0	28.6
1914-15	0	0	3.5	2	3	2.5	3.5	14.5
1915-16	0	0	3.8	5.7	4.3	1.8	1.8	17.4
1916-17	0	0	8.5	4.8	2.5	1.5	1.5	18.8
1917-18	0	2.5	6.8	22.6	1.5	0	3	36.4
1918-19	0	0	0	0.5	2.8	0	0	3.3
1919-20	0	0	4.8	2.7	3.2	1.2	0	11.9
1920-21	0	0	0.2	1.5	3.1	0	0	4.8
1921-22	0	0	5.5	31.5	3	2.5	0	42.5
1922-23	0	0	1.7	3.1	3.9	6.5	0	15.2
1923-24	0	0	1.7	0.5	4.9	9.3	5	21.4
1924-25	0	0	0.5	18	0	0	0	18.5
1925-26	2.2	0	0	3.4	11.8	0	0	17.4
1926-27	0	0	1	0.3	1	0	0	2.3
1927-28	0	0	0	10.6	0	0.5	0	11.1
1928-29	0	0.2	0	0.3	7	0	0	7.5
1929-30	0	1.1	1.5	14	1.5	0	0	18.1
1930-31	0	0	2.5	0	0	0	0	2.5
1931-32	0	0	1	0	0	4	0	5
1932-33	0	0	14.5	0	8.3	1	0	23.8
1933-34	0	0.5	3	0	18.1	9.1	0	30.7
1934-35	0	0	3	24.4	3.5	0.5	0	31.4
1935-36	0	0	11	2.3	18.5	0	0	31.8
1936-37	0	0	1.5	0	7.7	11	0	20.2
1937-38	0	0	0	1.5	1.4	2.5	0	5.4
1938-39	0	7	0	6.3	0.3	0	0	13.6
1939-40	0	0.4	4.4	15.3	4.3	0.4	0.5	25.3
1940-41	1.5	0	0	3.2	2	11.2	0	17.9
1941-42	0	0	0.2	1.8	0.1	11.5	0	13.6
1942-43	0	0	5.7	6.2	0.7	7.9	0	20.5
1943-44	0	0	0	4.1	2.1	1.2	0.2	7.6
1944-45	0	0	1.9	3.3	2.6	0	0	7.8
1945-46	0	0	13.2	6.8	4.5	0	0	24.5
1946-47	0	0	2.2	4.1	10.3	3.4	0	20
1947-48	0	0	3.6	12.1	7.7	0	0	23.4
1948-49	0	0	4.4	7.4	4	0	0	15.8
1949-50	0	0	0	0.3	0	3.1	0	3.4
1950-51	0	1.6	3.8	0.8	3	1	0	10.2
1951-52	0	0	4.8	1.6	0	3.8	0	10.2
1952-53	0	1.7	2	1.3	0.2	3.1	0	8.3
1953-54	0	6.7	0	11.3	0	0	0	18
1954-55	0	0	0.1	2.3	4.2	0	0	6.6
1955-56	0	2.3	0.5	4.5	0	4	0	11.3
1956-57	0	0	0.2	10.1	1.6	2.2	0.1	14.2
1957-58	0	0.3	12	0.3	17.2	10.6	0	40.4
1958-59	0	0	0.9	4	0	0	0	4.9
1959-60	0	0	0	0	7.2	17.1	0	24.3
1960-61	0	0	8.7	13.6	18	0	0	40.3
1961-62	0	1.3	1.2	2	6.5	4	0	15
1962-63	0	0	16.2	2.1	2	1.1	0	21.4
1963-64	0	0	6.4	8.9	11.7	6.2	0.4	33.6
1964-65	0	0.2	0.5	9.1	1.9	5.4	0	17.1
1965-66	0	0	0.2	21.3	6.9	0	0	28.4
1966-67	0	0	16.1	1.3	19	0.7	0	37.1
1967-68	0	6.9	6.3	2.8	2.4	3	0	21.4
1968-69	0	0	0	0.2	2.2	6.7	0	9.1
1969-70	0	0	6.8	3.6	3.6	0	0	14
1970-71	0	0	5.2	4.8	0.3	1.4	0	11.7
1971-72	0	1.4	0.1	0.3	14.4	0	0.6	16.8
1972-73	0	0	0	0	0.1	0	0	0.1
1973-74	0	0	11	1.5	4.2	0	0	16.7
1974-75	0	0	0.1	6.6	5.8	0.3	0	12.8
1975-76	0	0	0.4	0.1	0.9	0.8	0	2.2
1976-77	0	0.8	0.6	9.7	0	0	0	11.1
1977-78	0	0.1	0.2	10.3	3.8	8.3	0	22.7
1978-79	0	3.1	0	4	30.6	0	0	37.7
1979-80	0.3	0	0	8.6	5.1	6.1	0	20.1
1980-81	0	0	0.3	4.2	0	0	0	4.5
1981-82	0	0	1.7	15.3	5.3	0.2	0	22.5
1982-83	0	0	6.6	0	21	0	0	27.6
1983-84	0	0.3	0	6.5	0	1.8	0	8.6
1984-85	0	0	0.3	10	0	0	0	10.3
1985-86	0	0	0.7	1.8	12.9	0	0	15.4
1986-87	0	0	0	20.8	10.3	0	0	31.1
1987-88	0	11.5	0	13.1	0	0.4	0	25
1988-89	0	0	1.2	2.9	1.2	0.4	0	5.7
1989-90	0	3.5	9	0.2	0	2.4	0.2	15.3
1990-91	0	0	3	4.8	0.3	0	0	8.1
1991-92	0	0	0	4	2.6	0	0	6.6
1992-93	0	0	1	0	4.1	6.6	0	11.7
1993-94	0	0	2.6	3.5	3.1	4	0	13.2
1994-95	0	0	0	3.9	5.8	0.4	0	10.1
1995-96	0	0.5	1.3	23.8	15.2	5.2	0	46
1996-97	0	0.2	0.2	2.3	4	0	0	6.7
1997-98	0	0	0.1	0	0	0	0	0.1
1998-99	0	0	0.5	2.2	0.2	8.7	0	11.6
