fips	total	salaries	benefits	instruction	instruction_salaries	instruction_benefits	support	pupil_support	staff_support	general_admin	school_admin
1001	7092	4332	1680	4288	2966	1075	2229	345	205	155	422
1003	8119	4783	1763	4757	3159	1136	2950	457	406	125	530
1005	8613	5068	1942	5048	3268	1213	2878	487	271	426	563
1007	7831	4750	1836	4372	3011	1107	2737	431	420	260	478
1009	7281	4363	1678	4359	2965	1068	2401	313	337	169	462
1011	9101	5307	2017	4403	2890	1051	3934	696	760	618	479
1013	8193	4917	1821	4768	3198	1135	2782	428	590	315	399
1015	8627	4899	1892	4893	3260	1195	3115	617	348	234	535
1017	7994	4841	1861	4600	3137	1149	2750	455	359	233	483
1019	8267	4872	1825	4623	3132	1104	2933	650	260	236	471
1021	7464	4416	1679	4633	3114	1120	2193	444	247	116	364
1023	8227	4809	1854	4142	2870	1018	3410	512	475	427	370
1025	8328	4881	1868	4567	3104	1098	3022	522	483	189	479
1027	8138	4779	1877	5000	3291	1172	2552	441	183	371	439
1029	7984	4638	1790	4693	3088	1111	2546	365	303	201	544
1031	8261	4649	1795	4723	3072	1126	2954	624	270	253	522
1033	9222	5430	1964	5202	3512	1216	3331	613	312	397	591
1035	11040	5953	2392	5576	3755	1447	4725	428	449	331	805
1037	10760	5336	2104	5323	3246	1212	4730	664	1173	435	626
1039	8221	4806	1813	4812	3176	1129	2850	400	300	280	578
1041	8293	4695	1819	4656	3160	1140	3014	390	237	264	444
1043	8126	4870	1851	4945	3380	1212	2636	440	287	129	531
1045	8469	4879	1876	4873	3144	1153	3012	638	185	273	518
1047	8711	4970	1961	4776	3122	1155	3226	566	453	321	532
1049	8297	4670	1786	5011	3328	1173	2606	493	212	228	413
1051	7380	4409	1727	4594	3008	1104	2292	363	242	173	430
1053	8943	5199	2016	5090	3364	1220	3275	489	322	230	622
1055	7665	4678	1757	4519	3101	1101	2544	506	354	188	474
1057	8436	5015	1930	4589	3091	1128	3146	379	346	412	577
1059	8610	5131	1922	5138	3436	1189	2695	387	204	266	518
1061	7833	4500	1753	4537	2989	1100	2649	452	301	288	483
1063	10347	5928	2217	5077	3593	1263	4498	847	369	637	704
1065	8509	4912	1875	4905	3315	1186	2931	470	374	313	414
1067	7423	4393	1724	4415	2965	1103	2426	464	188	174	462
1069	8074	4612	1759	4861	3234	1173	2621	442	309	134	474
1071	8917	5336	2024	4807	3272	1151	3353	632	375	266	530
1073	9529	5662	2029	5500	3629	1253	3441	573	469	190	645
1075	7585	4482	1706	4242	2857	1005	2667	425	366	142	521
1077	8797	4930	1879	5450	3454	1254	2768	458	361	166	572
1079	8584	5094	1948	4859	3319	1187	3077	496	264	172	535
1081	8604	5105	1931	5218	3464	1231	2860	507	345	172	508
