player	initials	team	pos	pick	value	own
Adrian Peterson	AP	Min	RB	2.2	61	100
LeSean McCoy	LM	Phi	RB	2.7	61.1	100
Jamaal Charles	JC	KC	RB	3.9	58.7	100
Peyton Manning	PM	Den	QB	5.3	54.6	100
Matt Forte	MF	Chi	RB	6.1	54.9	100
Marshawn Lynch	ML	Sea	RB	7	53	100
Calvin Johnson	CJ	Det	WR	7.4	55.7	100
Eddie Lacy	EL	GB	RB	8.3	50.7	100
Aaron Rodgers	AR	GB	QB	10.1	48.3	100
Jimmy Graham	JG	NO	TE	11.2	47.1	100
Drew Brees	DB	NO	QB	12.1	44.6	100
Arian Foster	AF	Hou	RB	13.4	43.3	100
Demaryius Thomas	DT	Den	WR	13.6	43.6	100
Doug Martin	DM	TB	RB	16.1	40.9	100
A.J. Green	AG	Cin	WR	16.6	41.5	100
Dez Bryant	DB	Dal	WR	16.9	41	100
DeMarco Murray	DM	Dal	RB	17.2	39.7	100
Brandon Marshall	BM	Chi	WR	20.1	36.7	100
Julio Jones	JJ	Atl	WR	21.6	35.6	100
Le'Veon Bell	LB	Pit	RB	21.9	35.1	100
Jordy Nelson	JN	GB	WR	24.6	31	100
Zac Stacy	ZS	StL	RB	25.3	31.2	100
Montee Ball	MB	Den	RB	25.5	31.9	100
Alfred Morris	AM	Wsh	RB	26.8	29.7	100
Julius Thomas	JT	Den	TE	27.6	27.1	100
Alshon Jeffery	AJ	Chi	WR	27.8	27.9	100
Giovani Bernard	GB	Cin	RB	29.3	27.8	100
Antonio Brown	AB	Pit	WR	30.3	26.4	100
Reggie Bush	RB	Det	RB	31	24.4	100
Randall Cobb	RC	GB	WR	33.2	24	100
Matthew Stafford	MS	Det	QB	33.7	20.4	100
Rob Gronkowski	RG	NE	TE	33.7	23.2	100
Andrew Luck	AL	Ind	QB	34.8	18.3	100
Andre Johnson	AJ	Hou	WR	35.1	22.2	100
Larry Fitzgerald	LF	Ari	WR	37.8	20.2	100
Vincent Jackson	VJ	TB	WR	38.8	20.2	100
Frank Gore	FG	SF	RB	40.5	16.9	100
Ben Tate	BT	Cle	RB	41.6	19.4	100
Keenan Allen	KA	SD	WR	43.8	17.3	100
Vernon Davis	VD	SF	TE	45.2	13.5	100
Pierre Garcon	PG	Wsh	WR	45.2	16.6	100
Ryan Mathews	RM	SD	RB	45.2	16.7	100
Andre Ellington	AE	Ari	RB	46	17.2	100
C.J. Spiller	CS	Buf	RB	46.1	16.5	100
Victor Cruz	VC	NYG	WR	47.9	15.1	100
