player	team	pos	draft_pos_rank	final_pos_rank	pos_rank_diff	draft	points	performance	diff
Adrian Peterson	Min	RB	1	118	-117	1.9	8	436	-433.8
LeSean McCoy	Phi	RB	2	11	-9	3.3	148	51	-48.3
Jamaal Charles	KC	RB	4	7	-3	5.3	192	30	-26.1
Peyton Manning	Den	QB	1	4	-3	4.4	299	4	1.3
Matt Forte	Chi	RB	5	4	1	7.2	224	19	-12.9
Marshawn Lynch	Sea	RB	3	3	0	5.3	240	15	-8
Calvin Johnson	Det	WR	1	17	-16	7.3	134	69	-61.6
Eddie Lacy	GB	RB	6	6	0	11.7	206	26	-17.7
Aaron Rodgers	GB	QB	2	2	0	12.2	318	2	8.1
Jimmy Graham	NO	TE	1	3	-2	12.8	132	71	-59.8
Drew Brees	NO	QB	3	5	-2	12.8	281	5	7.1
Arian Foster	Hou	RB	7	5	2	13	214	22	-8.6
Demaryius Thomas	Den	WR	2	3	-1	16	212	24	-10.4
Doug Martin	TB	RB	8	57	-49	16.9	48	267	-250.9
A.J. Green	Cin	WR	3	20	-17	17.9	126	82	-65.4
Dez Bryant	Dal	WR	4	4	0	19.4	200	28	-11.1
DeMarco Murray	Dal	RB	9	1	8	18.1	264	8	9.2
Brandon Marshall	Chi	WR	5	28	-23	23.3	113	107	-86.9
Julio Jones	Atl	WR	6	7	-1	24.6	178	34	-12.4
Le'Veon Bell	Pit	RB	10	2	8	18.7	262	10	11.9
Jordy Nelson	GB	WR	7	2	5	28.2	213	23	1.6
Zac Stacy	StL	RB	11	69	-58	26.7	38	294	-268.7
Montee Ball	Den	RB	13	88	-75	30.9	23	352	-326.5
Alfred Morris	Wsh	RB	12	10	2	29.4	154	48	-21.2
Julius Thomas	Den	TE	2	6	-4	29	116	100	-72.4
Alshon Jeffery	Chi	WR	8	11	-3	31	164	41	-13.2
Giovani Bernard	Cin	RB	15	19	-4	35.5	121	89	-59.7
Antonio Brown	Pit	WR	9	1	8	31.8	227	18	12.3
Reggie Bush	Det	RB	14	51	-37	33.9	54	249	-218
Randall Cobb	GB	WR	11	8	3	36.9	173	36	-2.8
Rob Gronkowski	NE	TE	3	1	2	35.7	178	33	0.7
Matthew Stafford	Det	QB	5	16	-11	38.7	217	21	12.7
Andrew Luck	Ind	QB	4	1	3	34.9	322	1	33.8
Andre Johnson	Hou	WR	10	56	-46	36.8	79	188	-152.9
Larry Fitzgerald	Ari	WR	12	53	-41	41.2	82	179	-141.2
Vincent Jackson	TB	WR	13	32	-19	43	103	131	-92.2
Frank Gore	SF	RB	16	18	-2	40.7	121	88	-47.5
Ben Tate	Cle	RB	17	46	-29	44.3	61	226	-184.4
Keenan Allen	SD	WR	18	42	-24	51.4	91	156	-112.2
Pierre Garcon	Wsh	WR	16	54	-38	48	80	185	-139.8
Vernon Davis	SF	TE	4	38	-34	42.2	30	316	-270.8
Ryan Mathews	SD	RB	18	52	-34	49.2	54	250	-204.8
Andre Ellington	Ari	RB	25	17	8	70.4	122	87	-41
C.J. Spiller	Buf	RB	19	60	-41	49.5	44	277	-230.9
Victor Cruz	NYG	WR	15	93	-78	47.8	37	299	-251.1
