FIPS	County	2010	2000	1990	1980	1970	1960	1950	1940	1930	1920	1910	1900	1890	1880	1870	1860	1850	1840	1830	1820	1810	1800	1790	c2010	c2000	c1990	c1980	c1970	c1960	c1950	c1940	c1930	c1920	c1910	c1900	c1890	c1880	c1870	c1860	c1850	c1840	c1830	c1820	c1810	c1800
1001	Autauga 	54571	43751	34222	32259	24460	18739	18186	20977	19694	18908	20038	17915	13330	13108	11623	16739	15023	14342	11874	3853	--- 	--- 		0.247308633	0.278446613	0.060851235	0.318847097	0.305299109	0.030408006	-0.133050484	0.065146745	0.041569706	-0.056392854	0.118504047	0.34396099	0.016936222	0.127763916	-0.30563355	0.114224855	0.047482917	0.207849082	2.081754477	.	.	.
1003	Baldwin 	182265	140416	98280	78556	59382	49088	40997	32324	28289	20730	18178	13194	8941	8603	6004	7530	4414	2951	2324	1713	1427	--- 		0.298035836	0.428734229	0.251082031	0.322892459	0.20970502	0.197355904	0.268314565	0.142634946	0.364640617	0.140389482	0.377747461	0.475673862	0.03928862	0.432878081	-0.202656042	0.705935659	0.495764148	0.26979346	0.35668418	0.200420463	.	.
1005	Barbour 	27457	29042	25417	24756	22543	24700	28892	32722	32425	32067	32728	35152	34898	33979	29309	30812	23632	12024	--- 	--- 	--- 	--- 		-0.054576131	0.14262108	0.026700598	0.098167946	-0.087327935	-0.145092067	-0.117046635	0.009159599	0.011164125	-0.020196773	-0.06895767	0.007278354	0.027046117	0.159336723	-0.048779696	0.303825322	0.965402528	.	.	.	.	.
1007	Bibb 	22915	19856	16576	15723	13812	14357	17987	20155	20780	23144	22791	18498	13824	9487	7469	11894	9969	8284	6306	3676	--- 	--- 		0.154059226	0.197876448	0.054251733	0.13835795	-0.037960577	-0.20181242	-0.107566361	-0.030076997	-0.102143104	0.01548857	0.232079144	0.338107639	0.457151892	0.270183425	-0.372036321	0.193098606	0.203404153	0.313669521	0.715451578	.	.	.
1009	Blount 	57322	50982	39248	36459	26853	25449	28975	29490	28020	25538	21456	23119	21927	15369	9945	10865	7367	5570	4233	2415	--- 	--- 		0.124357616	0.298970648	0.076496887	0.357725394	0.055169162	-0.121691113	-0.017463547	0.052462527	0.097188503	0.190249814	-0.071932177	0.054362202	0.426703104	0.545399698	-0.084675564	0.474820144	0.322621185	0.315851642	0.752795031	.	.	.
1011	Bullock 	10914	11603	11042	10596	11824	13462	16054	19810	20016	25333	30196	31944	27063	29066	24474	--- 	--- 	--- 	--- 	--- 	--- 	--- 		-0.059381195	0.050806013	0.042091355	-0.103856563	-0.121675828	-0.161455089	-0.189601212	-0.010291767	-0.209884341	-0.161047821	-0.054720761	0.180356945	-0.068912131	0.187627687	.	.	.	.	.	.	.	.
1013	Butler 	20947	21394	21892	21680	22007	24560	29228	32447	30195	29531	29030	25761	21641	19649	14981	18122	10836	8685	5650	1405	--- 	--- 		-0.020893709	-0.022748036	0.009778598	-0.014858909	-0.103949511	-0.159709867	-0.099207939	0.074581884	0.022484846	0.017258009	0.126897248	0.190379372	0.101379205	0.311594687	-0.17332524	0.672388335	0.247668394	0.537168142	3.021352313	.	.	.
1015	Calhoun 	118572	111882	116034	119761	103092	95878	79539	63319	55611	47822	39115	34874	33835	19591	13980	21539	17163	14260	--- 	--- 	--- 	--- 		0.059795141	-0.035782615	-0.031120315	0.161690529	0.075241453	0.20542124	0.256163237	0.138605672	0.162874827	0.222600026	0.121609222	0.030707847	0.727068552	0.401359084	-0.350944798	0.25496708	0.203576438	.	.	.	.	.
1017	Chambers 	34215	36600	36876	39191	36356	37828	39528	42146	39313	41201	36056	32554	26319	23440	17562	23214	23960	17333	--- 	--- 	--- 	--- 		-0.065163934	-0.007484543	-0.059069684	0.077978876	-0.038912975	-0.043007488	-0.062117401	0.072062676	-0.04582413	0.142694697	0.107575106	0.236901098	0.122824232	0.33469992	-0.243473766	-0.031135225	0.382334276	.	.	.	.	.
1019	Cherokee 	25989	23909	19543	18760	15606	16303	17634	19928	20219	20862	20226	21096	20459	19108	11132	18360	13884	8773	--- 	--- 	--- 	--- 		0.086996529	0.2234048	0.04173774	0.202101756	-0.042752868	-0.075479188	-0.115114412	-0.014392403	-0.030821589	0.031444675	-0.041240046	0.031135442	0.07070337	0.716492993	-0.393681917	0.32238548	0.582582925	.	.	.	.	.
1021	Chilton 	43643	39604	32458	30612	25180	25693	26922	27955	24579	22770	23187	16522	14549	10793	6194	--- 	--- 	--- 	--- 	--- 	--- 	--- 		0.101984648	0.220161439	0.060303149	0.215726767	-0.019966528	-0.045650397	-0.036952245	0.137353025	0.07944664	-0.017984215	0.403401525	0.135610695	0.348003335	0.742492735	.	.	.	.	.	.	.	.
1023	Choctaw 	13859	15953	16018	16839	16589	17870	19152	20195	20513	20753	18483	18136	17526	15731	12676	13877	8389	--- 	--- 	--- 	--- 	--- 		-0.131260578	-0.004057935	-0.048755864	0.015070227	-0.071684387	-0.066938179	-0.051646447	-0.015502364	-0.011564593	0.12281556	0.019133216	0.034805432	0.114105906	0.241006627	-0.086546083	0.654190011	.	.	.	.	.	.
1025	Clarke 	25833	27870	27240	27702	26724	25738	26548	27636	26016	26409	30987	27790	22624	17806	14663	15049	9786	8640	7595	5839	--- 	--- 		-0.073089343	0.023127753	-0.016677496	0.036596318	0.038309115	-0.030510773	-0.039368939	0.062269373	-0.01488129	-0.147739375	0.115041382	0.228341584	0.27058295	0.214349042	-0.025649545	0.537809115	0.132638889	0.13759052	0.300736427	.	.	.
1027	Clay 	13932	14240	13252	13703	12636	12400	13929	16907	17768	22645	21006	17099	15765	12938	9560	--- 	--- 	--- 	--- 	--- 	--- 	--- 		-0.021629213	0.074554784	-0.032912501	0.084441279	0.019032258	-0.109770981	-0.17614006	-0.048457902	-0.215367631	0.078025326	0.228492894	0.084617824	0.218503633	0.35334728	.	.	.	.	.	.	.	.
1029	Cleburne 	14972	14141	12730	12595	10996	10911	11904	13629	12877	13360	13385	13206	13218	10976	8017	--- 	--- 	--- 	--- 	--- 	--- 	--- 		0.058765292	0.110840534	0.010718539	0.145416515	0.007790303	-0.083417339	-0.126568347	0.058398695	-0.036152695	-0.001867762	0.013554445	-0.000907853	0.204263848	0.369090682	.	.	.	.	.	.	.	.
1031	Coffee 	49948	43639	40240	38533	34872	30583	30720	31987	32556	30070	26119	20972	12170	8119	6171	9623	5940	--- 	--- 	--- 	--- 	--- 		0.144572515	0.084468191	0.044299691	0.104983941	0.140241311	-0.004459635	-0.039609841	-0.017477577	0.082673761	0.151269191	0.245422468	0.723253903	0.498953073	0.31567007	-0.358723891	0.62003367	.	.	.	.	.	.
