Title	Artist	BPM	Key	Import Date
Only You	112	95.9507	Fm	2010/7/8
Peaches and Cream	112	102.022	Em	2010/7/8
Father Said	12th Planet	139.999	Dbm	2011/3/10
MMXII	12th Planet	139.999	Gm	2013/9/6
Bass Salt	12th Planet & Antiserum	140	Fm	2013/3/6
Reasons (Doctor P Remix)	12th Planet & Juakali	140.002	Ebm	2013/2/28
Needed Change	12th Planet & Skrillex	140.095	D	2011/2/25
Burst	12th Planet, Skrillex & Kill The Noise	140	Fm	2013/9/6
Chainsaw Calligraphy (Flufftronix Remix)	16 Bit	140.052	Dm	2011/4/16
Birthday Song	2 Chainz	140.005	Cm	2012/11/10
I Luv Dem Strippers	2 Chainz	137.999		2013/5/28
No Lie	2 Chainz	131.001		2012/8/23
She Got It (Remix)	2 Pistols	134.09		2010/7/8
Come On	2 Pistols	148.04		2010/7/8
Datsun Tropicalia (Torro Torro Remix)	2Edit	128	Dm	2013/3/2
Don't Dance	3OH!3	159.999		2010/7/8
Don't Trust Me (Remix)	3OH!3	129.998		2010/7/8
Double Vision (Remix)	3OH!3	119.996		2010/9/24
Starstruckk (Remix)	3OH!3	139.998		2010/7/8
Don't Trust Me	3OH!3	130.001		2010/7/8
My First Kiss	3OH!3	138.001		2010/9/24
Starstrukk	3OH!3	139.793		2010/7/8
Children	4 Clubbers	139.991		2010/7/8
Streetz Won't Let Me Down	40 Glocc	140		2010/7/8
I Get It In	50 Cent	95.002	www.OnSMASH.com	2010/7/8
Baby By Me	50 Cent	95.003	www.OnSMASH.com	2010/7/8
Still Will Kill	50 Cent	88.0006	Gm	2010/7/8
I Get Money	50 Cent	92.254		2010/7/8
Ayo Technology	50 Cent	140.02		2010/7/8
Amusement Park	50 Cent	87.9088	Bbm	2010/7/8
Tha Realest Killas	50 Cent	92.444		2010/7/8
Intro	50 Cent	141		2008/12/7
What Up Gangsta	50 Cent	165.021	Dbm	2010/7/8
Patiently Waiting	50 Cent	158.005	Bm	2008/12/7
Many Men	50 Cent	161.306		2010/7/8
In Da Club	50 Cent	90		2008/12/7
High All the Time	50 Cent	174.601	Bbm	2010/7/8
Heat	50 Cent	172.017	Gbm	2010/7/8
If I Can't	50 Cent	94.01		2010/7/8
Blood Hound	50 Cent	168.004	Fm	2010/7/8
Back Down	50 Cent	89.01		2010/7/8
Like My Style	50 Cent	100		2010/7/8
Poor Lil' Rich	50 Cent	87.956		2010/7/8
21 Questions	50 Cent	93.047		2010/7/8
Don't Push Me	50 Cent	128		2010/7/8
Gotta Make It To Heaven	50 Cent	92.004		2010/7/8
Wanksta	50 Cent	162.007		2010/7/8
Hustler's Ambition	50 Cent	87.9095	D	2010/7/8
Window Shopper	50 Cent	173.928	Cm	2010/7/8
Best Friend	50 Cent	90.801		2010/7/8
I'll Whip Ya Head Boy	50 Cent	158.3		2010/7/8
Magic Stick	50 Cent	92.998		2008/12/7
Ghetto Qu'ran (Forgive Me)	50 Cent	89.03		2010/7/8
Stunt 101	50 Cent	95.922		2010/7/8
Intro	50 Cent	108.55		2010/7/8
Outta Control (Remix)	50 Cent	92.0093		2013/8/30
In My Hood	50 Cent	90.003		2010/7/8
This Is 50	50 Cent	91.3		2010/7/8
I'm Supposed To Die Tonight	50 Cent	158.999		2009/1/12
Piggy Bank	50 Cent	174.003	Bbm	2008/12/7
Gatman And Robbin'	50 Cent	174.008	Am	2010/7/8
Candy Shop	50 Cent	98.01		2009/1/12
Outta Control	50 Cent	96.014		2010/7/8
Get In My Car	50 Cent	150.015		2010/7/8
Ski Mask Way	50 Cent	89.906		2010/7/8
A Baltimore Love Thing	50 Cent	162.954		2010/7/8
Ryder Music	50 Cent	91.013		2010/7/8
Disco Inferno	50 Cent	97.01		2010/7/8
Just A Lil Bit	50 Cent	96.901		2010/7/8
Gunz Come Out	50 Cent	90.337		2010/7/8
My Toy Soldier	50 Cent	103.493		2010/7/8
Position Of Power	50 Cent	172.001	Em	2008/12/7
Build You Up	50 Cent	97.118		2010/7/8
God Gave Me Style	50 Cent	90.998		2010/7/8
So Amazing	50 Cent	95		2010/7/8
I Don't Need Em	50 Cent	166.003	E	2010/7/8
Hate It Or Love It (G-Unit Remix)	50 Cent	99.998		2010/7/8
You Don't Know	50 Cent	170.999	Db	2010/7/8
Fully Loaded Clip	50 Cent	90.004		2010/7/8
Happy New Year	50 Cent	90	Em	2011/2/9
I Get Money (Remix)	50 Cent	92.2668	A	2010/7/8
Straight to the Bank	50 Cent	134.7		2010/7/8
Too Hot	50 Cent	94.24		2010/9/24
Love	501	141.999		2011/4/16
My Favorite Sin	501	140.002	Cm	2011/4/16
D-Game	504 Boyz	89.999		2013/2/28
Tight Whips	504 Boyz	149.989		2010/7/8
Fresh	6 Tre G	153.301		2010/7/8
Supadupafly	666	137.869	Abm	2010/7/8
Tell Me Why	8 Ball & MJG	162.398	Db	2010/7/8
Lay It Down	8 Ball & MJG	166.266	Bm	2010/7/8
Relax And Take Notes	8 Ball & MJG	152.995	Gm	2010/7/8
You Don't Want Drama	8 Ball & MJG	139.922		2010/7/8
Hip-Hop Medley	8-Bit	141.81		2010/7/8
I Run This (Instrumental)	Instrumentals	162.001	Dm	2010/6/8
Add Me Up	9th Ward	87.9998	Dbm	2010/7/8
Who Said We're Wack	The Lonely Island	94.996		2010/7/8
Santana DVX	The Lonely Island	93.91		2010/7/8
Jizz In My Pants	The Lonely Island	121.999		2010/7/8
I'm On A Boat	The Lonely Island	149.998	Am	2010/7/8
Sax Man	The Lonely Island	107.498		2010/7/8
Lazy Sunday	The Lonely Island	95		2010/7/8
Normal Guy (Interlude)	The Lonely Island	111		2010/7/8
Boombox	The Lonely Island	137.199		2010/7/8
Shrooms (Interlude)	The Lonely Island	127.989		2010/7/8
Like a Boss	The Lonely Island	150.001		2010/7/8
We Like Sportz	The Lonely Island	102		2010/7/8
Dreamgirl	The Lonely Island	173.998	Dm	2010/7/8
Ras Trent	The Lonely Island	135.401		2010/7/8
Dick in a Box	The Lonely Island	159.991		2010/7/8
The Old Saloon (Interlude)	The Lonely Island	96.496		2010/7/8
Punch You in the Jeans	The Lonely Island	90.492		2010/7/8
Space Olympics	The Lonely Island	94.683		2010/7/8
Natalie's Rap	The Lonely Island	170.296	Gbm	2010/7/8
Incredibad	The Lonely Island	93.999		2010/7/8
Lick It (Original Mix)	Kaskade & Skrillex	128		2011/10/25
Scary Monsters & Sprites (Piano Cover)	Ferro Montanino	127		2011/1/19
Midnight Marauders Tour Guide	A Tribe Called Quest	96.7726	Bb	2010/7/8
Steve Biko (Stir It Up)	A Tribe Called Quest	95.256		2010/7/8
Award Tour	A Tribe Called Quest	97.261		2008/12/7
8 Million Stories	A Tribe Called Quest	141.017		2010/7/8
Sucka Nigga	A Tribe Called Quest	172.391	Ab	2010/7/8
Midnight	A Tribe Called Quest	94.536		2010/7/8
We Can Get Down	A Tribe Called Quest	93.9177	F	2010/7/8
Electric Relaxation	A Tribe Called Quest	98.232		2008/12/7
Clap Your Hands	A Tribe Called Quest	93.026		2008/12/7
Oh My God	A Tribe Called Quest	94.637		2010/7/8
Keep It Rollin'	A Tribe Called Quest	132.08		2010/7/8
The Chase, Part 2	A Tribe Called Quest	93.905		2010/7/8
Lyrics To Go	A Tribe Called Quest	96.911		2010/7/8
God Lives Through	A Tribe Called Quest	95.073		2010/7/8
Push It Along	A Tribe Called Quest	94.635		2010/7/8
Luck Of Lucien	A Tribe Called Quest	104.772		2010/7/8
After Hours	A Tribe Called Quest	100.07		2010/7/8
Footprints	A Tribe Called Quest	100.081		2010/7/8
I Left My Wallet In El Segundo	A Tribe Called Quest	99.11		2010/7/8
Public Enemy	A Tribe Called Quest	109.15		2010/7/8
Bonita Applebum	A Tribe Called Quest	91.887		2010/7/8
Can I Kick It	A Tribe Called Quest	96.683		2010/7/8
Youthful Expression	A Tribe Called Quest	108.79		2010/7/8
Mr. Muhammad	A Tribe Called Quest	103.742		2010/7/8
Ham'N'Eggs	A Tribe Called Quest	93.753		2010/7/8
Go Ahead In The Rain	A Tribe Called Quest	110.782		2010/7/8
Description Of A Fool	A Tribe Called Quest	108.01		2010/7/8
Excursions	A Tribe Called Quest	95.713		2010/7/8
Buggin' Out	A Tribe Called Quest	96.176		2010/7/8
Rap Promoter	A Tribe Called Quest	97.432		2010/7/8
Butter	A Tribe Called Quest	92.138		2010/7/8
Verses From The Abstract	A Tribe Called Quest	87.6294	A	2010/7/8
Show Business	A Tribe Called Quest	101.642		2010/7/8
Vibes and Stuff	A Tribe Called Quest	92.339		2010/7/8
The Infamous Date Rape	A Tribe Called Quest	94.058		2010/7/8
Check the Rhime	A Tribe Called Quest	96.398		2010/7/8
Everything Is Fair	A Tribe Called Quest	97.79		2010/7/8
Jazz (We've Got)	A Tribe Called Quest	92.47		2010/7/8
Sky Pager	A Tribe Called Quest	97.107		2010/7/8
What	A Tribe Called Quest	109.997		2010/7/8
Scenario	A Tribe Called Quest	101.729		2010/7/8
Fuckin' Problem	A$AP Rocky	96		2012/11/10
Goldie	A$AP Rocky	164.002	Gbm	2012/5/25
Kissin' Pink	A$AP Rocky	158		2012/4/4
My Bitch	A$AP Rocky	154	Bbm	2012/8/25
Peso	A$AP Rocky	140		2012/4/4
Purple Swag	A$AP Rocky	115	Dm	2012/4/4
Ridin	A$AP Rocky	154	Bbm	2012/8/13
Wassup	A$AP Rocky	117.034		2011/8/4
Take On Me (The Twelves Remix)	A-Ha	142.998		2010/7/8
Wassup Wassup	A-Town Players	135.079		2010/7/8
Bankhead Bounce 	A-Town Players	131.26		2010/7/8
Loonies To Blow	A-Trak	129.996		2011/10/25
Ray Ban Vision (Remix)	A-Trak	161.999	Am	2011/4/22
Ray Ban Vision	A-Trak	162.001	Am	2010/12/8
Disco Nap (Original Mix)	A-Trak	128		2013/5/29
Landline 2.0 (Original Mix)	A-Trak	140		2013/3/19
Money Making	A-Trak & Dillon Francis	126		2012/5/25
Money Aint A Thing (What Up)	A.K.A. the Phresh Prince	153.999	www.OnSMASH.com	2010/7/8
Sun and Moon (The Others)	Above and Beyond	140.14		2011/4/16
We Here (Dunn Dunn)	Ace Hood	150.002		2010/7/8
I Don't Give A Fuck	Ace Hood	145.997		2010/7/8
Can't Stop	Ace Hood	91.998		2010/10/6
Get Em Up	Ace Hood	157.995		2010/7/8
Gutta	Ace Hood	137		2010/7/8
Guns High	Ace Hood	156.996		2010/7/8
Cash Flow	Ace Hood	104.006		2010/10/6
Ride	Ace Hood	149.999		2010/7/8
Fed Bound	Ace Hood	148.997		2010/7/8
Stressin'	Ace Hood	119.91		2010/7/8
Money Ova Here	Ace Hood	91.999		2010/7/8
Can't See Yall	Ace Hood	97.997		2010/7/8
Get Him	Ace Hood	135.997		2010/7/8
Call Me	Ace Hood	94.998		2010/7/8
Ghetto	Ace Hood	169.996	Cm	2010/7/8
Top Of The World	Ace Hood	157.996		2010/7/8
Ride (Remix)	Ace Hood	150		2010/7/8
