fips	total	white	black	aian	asian	hawaiian_pi	hispanic	other	one_race	two_races	white_not_hispanic	year
1001	11.6	7.7	28.6	26	7.7	-	28	0	11.5	14.4	7	2012
1003	13.3	9.8	36.2	32.9	28.3	0	29.5	34.3	12.9	36.4	9.3	2012
1005	26.1	11.7	39.9	-	12.7	-	36.6	51.8	25.6	51.2	11.2	2012
1007	16.5	12.2	32.7	80.6	0	-	41.2	-	16.6	7.9	11.6	2012
1009	14.7	14.6	56.7	5.2	4.4	-	23.8	0	14.7	14.6	13.5	2012
1011	22.2	11.9	26.4	0	-	0	39.6	-	22.2	0	4.2	2012
1013	25.7	16.6	37.5	69.4	0	-	5.4	0	25.6	31.1	16.8	2012
1015	21.4	16.3	39.5	23.6	12.7	0	25.9	27.6	21.3	27.5	16.3	2012
1017	23.3	12.3	39.6	0	0	0	37.8	0	23	45.2	12	2012
1019	19.5	18.7	29.9	29.4	56.4	0	15	52.7	19.5	18.9	18.9	2012
1021	18.6	17.1	29.1	6.3	12.4	-	43.9	33.7	18.5	24.5	15.1	2012
1023	20.2	13.5	27.7	-	0	-	19.3	0	19.7	60.2	13.6	2012
1025	26.4	14.3	40.5	78.7	23.4	-	43.2	100	26.4	19.4	14.2	2012
1027	19.8	17	35.8	32	-	-	40.5	0	19.9	16.7	16	2012
1029	18	17.8	11	0	-	-	43.4	63.2	17.6	52.2	17.5	2012
1031	17.1	12.2	40.5	10.7	8.6	-	25.4	33.4	17.3	12.9	11.2	2012
1033	16.2	13.4	26.6	13	0	0	54.6	90.6	16.1	26.2	13	2012
1035	30.4	17.2	46.1	0	0	-	78.9	-	30.7	5	16.8	2012
1037	20.2	16.4	28.9	0	-	-	25.3	100	20.4	0	16.3	2012
1039	20.9	18.2	38.3	3.4	26.7	0	13.1	0	20.6	41.6	18.3	2012
1041	18.4	13.3	33.3	48.6	0	-	31.5	21.5	17.9	40.1	12.9	2012
1043	18.6	17.8	44.7	34.8	31.2	62.5	45.1	4	18.2	48.4	16.7	2012
1045	16	12	28.2	34	10.9	0	33.9	59	15.6	28.2	11	2012
1047	36.5	11.1	46.8	66.2	0	100	64.5	77.5	36.4	48.5	10.9	2012
1049	19.5	19.3	29.1	23.3	13.9	0	46.4	27.2	19.7	9.4	15.1	2012
1051	13	9.1	27.8	18.3	0	-	40.3	41.4	12.9	18.5	8.7	2012
1053	24.9	21.8	31.8	18.2	59.7	0	82.5	0	24.8	35.1	20.2	2012
1055	18.8	14.9	37.3	19.8	12.4	0	30.6	56.2	18.4	41.3	14.5	2012
1057	19.1	15.4	45.3	39.5	24.6	-	30.8	-	18.7	43.6	15.2	2012
1059	19.8	16.2	37.6	53.5	62.5	-	34.8	55.3	19.6	43.7	15.2	2012
1061	20	16.3	43	14.9	0	-	47.8	67.6	19.7	38.8	15.6	2012
1063	32.9	16.5	36.6	0	0	-	-	-	32.9	-	16.5	2012
1065	27.7	7.6	40.8	0	100	0	0	-	27.6	45.5	7.7	2012
1067	16	11.4	27.6	-	0	-	26.2	36.2	15.9	38.8	11.3	2012
1069	17.7	10.8	35.9	18.7	2.2	33.3	32.7	28.8	17.5	29	10.2	2012
1071	16.2	15.4	25.7	3.7	23.7	0	36.5	33.7	15.6	44.5	15	2012
1073	17	8.9	26.7	12.7	12.2	23.4	28.6	33.9	17	20.5	8.4	2012
1075	20.1	18	33.7	-	0	-	46.7	100	19.9	43.9	17.7	2012
1077	17.9	15.7	36.8	15.3	17.1	-	22.7	13.8	17.8	33.8	15.6	2012
1079	16.1	14.5	20.7	17.5	0	-	34.2	45.9	15.6	26.5	14.5	2012
1081	21.1	18.3	29.6	20.8	15	0	37.1	43.2	21	24.3	17.8	2012
