show	network	network_type	season	episode	air_date	viewers
The Walking Dead	AMC	basic	1	1	10/31/10	5.35
The Walking Dead	AMC	basic	1	2	11/7/10	4.71
The Walking Dead	AMC	basic	1	3	11/14/10	5.07
The Walking Dead	AMC	basic	1	4	11/21/10	4.75
The Walking Dead	AMC	basic	1	5	11/28/10	5.56
The Walking Dead	AMC	basic	1	6	12/5/10	5.97
The Walking Dead	AMC	basic	2	1	10/16/11	7.26
The Walking Dead	AMC	basic	2	2	10/23/11	6.7
The Walking Dead	AMC	basic	2	3	10/30/11	6.1
The Walking Dead	AMC	basic	2	4	11/6/11	6.29
The Walking Dead	AMC	basic	2	5	11/13/11	6.12
The Walking Dead	AMC	basic	2	6	11/20/11	6.08
The Walking Dead	AMC	basic	2	7	11/27/11	6.62
The Walking Dead	AMC	basic	2	8	2/12/12	8.1
The Walking Dead	AMC	basic	2	9	2/19/12	6.89
The Walking Dead	AMC	basic	2	10	2/26/12	7.04
The Walking Dead	AMC	basic	2	11	3/4/12	6.77
The Walking Dead	AMC	basic	2	12	3/11/12	6.89
The Walking Dead	AMC	basic	2	13	3/18/12	8.99
The Walking Dead	AMC	basic	3	1	10/14/12	10.87
The Walking Dead	AMC	basic	3	2	10/21/12	9.55
The Walking Dead	AMC	basic	3	3	10/28/12	10.51
The Walking Dead	AMC	basic	3	4	11/4/12	9.27
The Walking Dead	AMC	basic	3	5	11/11/12	10.37
The Walking Dead	AMC	basic	3	6	11/18/12	9.21
The Walking Dead	AMC	basic	3	7	11/25/12	10.43
The Walking Dead	AMC	basic	3	8	12/2/12	10.48
The Walking Dead	AMC	basic	3	9	2/10/13	12.26
The Walking Dead	AMC	basic	3	10	2/17/13	11.05
The Walking Dead	AMC	basic	3	11	2/24/13	11.01
The Walking Dead	AMC	basic	3	12	3/3/13	11.3
The Walking Dead	AMC	basic	3	13	3/10/13	11.46
The Walking Dead	AMC	basic	3	14	3/17/13	10.84
The Walking Dead	AMC	basic	3	15	3/24/13	10.99
The Walking Dead	AMC	basic	3	16	3/31/13	12.42
The Walking Dead	AMC	basic	4	1	10/13/13	16.11
The Walking Dead	AMC	basic	4	2	10/20/13	13.95
The Walking Dead	AMC	basic	4	3	10/27/13	12.92
The Walking Dead	AMC	basic	4	4	11/3/13	13.31
The Walking Dead	AMC	basic	4	5	11/10/13	12.2
The Walking Dead	AMC	basic	4	6	11/17/13	12
The Walking Dead	AMC	basic	4	7	11/24/13	11.29
The Walking Dead	AMC	basic	4	8	12/1/13	12.05
The Walking Dead	AMC	basic	4	9	2/9/14	15.76
The Walking Dead	AMC	basic	4	10	2/16/14	13.34
The Walking Dead	AMC	basic	4	11	2/23/14	13.12
The Walking Dead	AMC	basic	4	12	3/2/14	12.61
The Walking Dead	AMC	basic	4	13	3/9/14	12.65
The Walking Dead	AMC	basic	4	14	3/16/14	12.87
The Walking Dead	AMC	basic	4	15	3/23/14	13.47
The Walking Dead	AMC	basic	4	16	3/30/14	15.68
Breaking Bad	AMC	basic	3	1	3/21/10	1.95
Breaking Bad	AMC	basic	3	2	3/28/10	1.55
Breaking Bad	AMC	basic	3	3	4/4/10	1.33
Breaking Bad	AMC	basic	3	4	4/11/10	1.46
Breaking Bad	AMC	basic	3	5	4/18/10	1.61
Breaking Bad	AMC	basic	3	6	4/25/10	1.64
Breaking Bad	AMC	basic	3	7	5/2/10	1.52
Breaking Bad	AMC	basic	3	8	5/9/10	1.78
Breaking Bad	AMC	basic	3	9	5/16/10	1.61
Breaking Bad	AMC	basic	3	10	5/23/10	1.2
Breaking Bad	AMC	basic	3	11	5/30/10	1.32
Breaking Bad	AMC	basic	3	12	6/6/10	1.19
Breaking Bad	AMC	basic	3	13	6/13/10	1.56
Breaking Bad	AMC	basic	4	1	7/17/11	2.58
Breaking Bad	AMC	basic	4	2	7/24/11	1.97
Breaking Bad	AMC	basic	4	3	7/31/11	1.71
Breaking Bad	AMC	basic	4	4	8/7/11	1.83
Breaking Bad	AMC	basic	4	5	8/14/11	1.75
Breaking Bad	AMC	basic	4	6	8/21/11	1.67
Breaking Bad	AMC	basic	4	7	8/28/11	1.91
Breaking Bad	AMC	basic	4	8	9/4/11	1.98
Breaking Bad	AMC	basic	4	9	9/11/11	1.89
Breaking Bad	AMC	basic	4	10	9/18/11	1.8
Breaking Bad	AMC	basic	4	11	9/25/11	1.55
Breaking Bad	AMC	basic	4	12	10/2/11	1.73
Breaking Bad	AMC	basic	4	13	10/9/11	1.9
Breaking Bad	AMC	basic	5	1	7/15/12	2.93
Breaking Bad	AMC	basic	5	2	7/22/12	2.29
