STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00050848,"BOULDER, CO US",7/1/2018,0,0,0,87,46,85
USC00050848,"BOULDER, CO US",7/2/2018,0,0,0,92,51,89
USC00050848,"BOULDER, CO US",7/3/2018,0,0,0,90,56,80
USC00050848,"BOULDER, CO US",7/4/2018,0,0,0,87,55,83
USC00050848,"BOULDER, CO US",7/5/2018,0.24,0,0,84,58,74
USC00050848,"BOULDER, CO US",7/6/2018,0,0,0,87,53,77
USC00050848,"BOULDER, CO US",7/7/2018,0,0,0,96,57,86
USC00050848,"BOULDER, CO US",7/8/2018,0,0,0,96,60,77
USC00050848,"BOULDER, CO US",7/9/2018,0,0,0,93,60,93
USC00050848,"BOULDER, CO US",7/10/2018,0,0,0,97,57,95
USC00050848,"BOULDER, CO US",7/11/2018,0,0,0,95,58,92
USC00050848,"BOULDER, CO US",7/12/2018,0.05,0,0,92,61,66
USC00050848,"BOULDER, CO US",7/13/2018,0,0,0,88,55,87
USC00050848,"BOULDER, CO US",7/14/2018,0,0,0,94,57,93
USC00050848,"BOULDER, CO US",7/15/2018,0.45,0,0,93,61,61
USC00050848,"BOULDER, CO US",7/16/2018,0.02,0,0,85,54,81
USC00050848,"BOULDER, CO US",7/17/2018,0,0,0,84,61,83
USC00050848,"BOULDER, CO US",7/18/2018,0,0,0,94,60,90
USC00050848,"BOULDER, CO US",7/19/2018,0,0,0,97,61,90
USC00050848,"BOULDER, CO US",7/20/2018,0,0,0,94,60,88
USC00050848,"BOULDER, CO US",7/21/2018,0.05,0,0,93,60,85
USC00050848,"BOULDER, CO US",7/22/2018,0.11,0,0,94,63,75
USC00050848,"BOULDER, CO US",7/23/2018,0.31,0,0,78,63,65
USC00050848,"BOULDER, CO US",7/24/2018,0.11,0,0,86,57,79
USC00050848,"BOULDER, CO US",7/25/2018,0.03,0,0,82,58,76
USC00050848,"BOULDER, CO US",7/26/2018,0.07,0,0,81,55,79
USC00050848,"BOULDER, CO US",7/27/2018,0.35,0,0,80,56,70
USC00050848,"BOULDER, CO US",7/28/2018,0.01,0,0,77,56,71
USC00050848,"BOULDER, CO US",7/29/2018,0.04,0,0,75,52,75
USC00050848,"BOULDER, CO US",7/30/2018,0,0,0,77,51,76
USC00050848,"BOULDER, CO US",7/31/2018,0,0,0,84,48,84
USC00050848,"BOULDER, CO US",8/1/2018,0,0,0,85,52,76
