"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WESD","WESF","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11"
"USC00050848","BOULDER, CO US","2019-01-01",,,"0.03","0.6","2.0",,"15","2","5",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-01-02",,,"0.00","0.0","2.0",,"41","1","22",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-01-03",,,"0.00","0.0","1.0",,"56","22","37",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-01-04",,,"0.00","0.0","0.0",,"61","17","42",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-01-05",,,"0.00","0.0","0.0",,"60","32","43",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-01-06",,,"0.00","0.0","0.0",,"57","30","48",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-01-07",,,"0.00","0.0","0.0",,"51","34","43",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-01-08",,,"0.00","0.0","0.0",,"46","23","32",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-01-09",,,"0.00","0.0","0.0",,"50","23","37",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-01-10",,,"0.00","0.0","0.0",,"58","29","45",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-01-11",,,"0.63","1.9","2.0",,"45","32","32",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-01-12",,,"0.14","1.4","2.0",,"39","29","29",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-01-13",,,"0.00","0.0","2.0",,"41","18","30",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-01-14",,,"0.00","0.0","1.0",,"51","17","31",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-01-15",,,"0.00","0.0","1.0",,"51","23","37",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-01-16",,,"0.00","0.0","0.0",,"53","29","43",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-01-17",,,"0.00","0.0","0.0",,"57","32","49",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-01-18",,,"0.22","1.5","1.0",,"50","31","31",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-01-19",,,"0.00","0.0","0.0",,"51","20","44",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-01-20",,,"0.00","0.0","0.0",,"54","35","38",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-01-21",,,"0.00","0.0","0.0",,"51","23","43",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-01-22",,,"0.17","2.2","2.0",,"44","23","28",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-01-23",,,"0.00","0.0","1.0",,"45","15","36",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-01-24",,,"0.18","2.9","3.0",,"37","19","23",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-01-25",,,"0.00","0.0","2.0",,"41","13","36",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-01-26",,,"0.00","0.0","1.0",,"48","21","42",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-01-27",,,"0.00","0.0","0.0",,"53","31","49",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-01-28",,,"0.20","4.0","4.0",,"49","18","18",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-01-29",,,"0.00","0.0","2.0",,"32","7","22",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-01-30",,,"0.00","0.0","2.0",,"49","7","44",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-01-31",,,"0.00","0.0","1.0",,"50","23","35",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-02-01",,,"0.00","0.0","0.0",,"59","24","42",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-02-02",,,"0.00","0.0","0.0",,"59","30","48",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-02-03",,,"0.00","0.0","0.0",,"63","36","46",,,,,,,,,,,,
"USC00050848","BOULDER, CO US","2019-02-04",,,"0.00","0.0","0.0",,"54","37","39",,,,,,,,,,,,
