Location	Month	Day	NormalDailyMax	NormalDailyMin	NormalDailyPrecip	DailyRecordMax	DailyRecordMaxYear	DailyRecordMin	DailyRecordMinYear
DC	1	1	44	29	0.09	69	2005	-14	1881
DC	1	2	43	29	0.08	71	1876	-1	1899
DC	1	3	43	29	0.09	68	2004+	-3	1877
DC	1	4	43	29	0.08	73	1997	-3	1877
DC	1	5	43	29	0.09	71	1997	-3	1877
DC	1	6	43	29	0.09	73	2007	2	1884
DC	1	7	43	29	0.09	76	1907	5	1884
DC	1	8	43	29	0.09	73	2008	0	1878
DC	1	9	43	29	0.09	76	1937	4	1970
DC	1	10	43	29	0.09	70	1950	-3	1875
DC	1	11	43	29	0.1	75	1975	2	1982
DC	1	12	43	28	0.09	76	1890	3	1886
DC	1	13	43	28	0.09	75	1932	-8	1912
DC	1	14	43	28	0.1	76	1932	-13	1912
DC	1	15	43	28	0.09	77	1932	4	1886
DC	1	16	43	28	0.09	73	1953	2	1893
DC	1	17	43	28	0.09	74	1943	-5	1982
DC	1	18	43	28	0.09	69	1990	-6	1893
DC	1	19	43	28	0.09	71	1951	-4	1994
DC	1	20	43	28	0.09	70	1951	-2	1985
DC	1	21	43	28	0.1	70	1959	-4	1985
DC	1	22	43	28	0.09	76	1927	1	1893
DC	1	23	44	28	0.09	72	1974	0	1936
DC	1	24	44	29	0.09	73	1950	3	1963
DC	1	25	44	29	0.09	75	1950	3	1935
DC	1	26	44	29	0.09	79	1950	5	1948
DC	1	27	44	29	0.08	75	1974	6	1935
DC	1	28	44	29	0.1	73	1949	-2	1935
DC	1	29	44	29	0.09	76	1975	2	1873
DC	1	30	44	29	0.09	77	2002	-6	1873
DC	1	31	44	29	0.1	71	1916	-2	1905
DC	2	1	44	29	0.1	77	2002	6	1935
DC	2	2	45	29	0.09	72	1990	2	1904
DC	2	3	45	29	0.1	65	1927	0	1895
DC	2	4	45	29	0.1	70	1991	2	1898
DC	2	5	45	29	0.09	74	2019	-2	1918
DC	2	6	45	30	0.09	74	2008	1	1895
DC	2	7	45	30	0.09	73	2017	3	1907
DC	2	8	46	30	0.1	74	2017	0	1895
DC	2	9	46	30	0.09	70	2001	-7	1899
DC	2	10	46	30	0.1	68	1960+	-8	1899
DC	2	11	46	30	0.09	76	1932	-15	1899
DC	2	12	46	30	0.09	74	1999	4	1899
DC	2	13	47	31	0.09	72	1951	2	1917
DC	2	14	47	31	0.1	73	1990	4	1905
DC	2	15	47	31	0.09	77	1949	-6	1899
